,0,1
0,trump,264
1,president,190
2,said,150
3,people,113
4,obama,93
5,like,86
6,donald,85
7,white,82
8,time,82
9,house,72
10,new,71
11,told,67
12,country,65
13,know,64
14,re,63
15,news,63
16,clinton,62
17,police,58
18,want,56
19,going,55
20,family,54
21,women,51
22,way,50
23,life,49
24,story,46
25,asked,46
26,years,45
27,according,45
28,america,44
29,facebook,42
30,states,41
31,home,41
32,share,40
33,men,40
34,american,40
35,right,39
36,order,38
37,day,38
38,think,38
39,fact,38
40,need,37
41,000,36
42,thing,35
43,fbi,35
44,world,35
45,believe,35
46,things,35
47,office,34
48,state,34
49,united,34
