,0,1
0,feature_ngram_,7918
1,trump,528
2,president,380
3,said,300
4,people,226
5,feature_ngram_n,225
6,re,189
7,obama,186
8,like,172
9,donald,170
10,white,164
11,time,164
12,house,144
13,new,142
14,told,134
15,country,130
16,know,128
17,news,126
18,clinton,124
19,police,116
20,want,112
21,going,110
22,_n,110
23,000,109
24,family,108
25,women,102
26,ve,102
27,way,100
28,life,98
29,story,92
30,years,92
31,asked,92
32,according,90
33,america,88
34,feature_ngram_trump_,88
35,facebook,84
36,men,82
37,states,82
38,home,82
39,share,80
40,american,80
41,right,78
42,feature_ngram_donald_trump,77
43,day,77
44,order,76
45,think,76
46,fact,76
47,need,74
48,year,72
49,thing,70
50,fbi,70
51,world,70
52,believe,70
53,things,70
54,ll,69
55,office,68
56,state,68
57,united,68
58,god,68
59,come,68
60,friends,66
61,rich,66
62,public,64
63,hillary,64
64,_trump,64
65,man,64
66,_said,63
67,republican,62
68,americans,62
69,fox,62
70,feature_ngram_said_,61
71,com,61
72,bill,60
73,law,58
74,found,58
75,media,58
76,old,58
77,took,56
78,children,56
79,comments,56
80,days,56
81,washington,54
82,good,54
83,russia,54
84,work,54
85,investigation,52
86,working,52
87,morning,52
88,got,52
89,twitter,52
90,away,50
91,death,50
92,times,50
93,feature_ngram_president_,49
94,source,49
95,having,48
96,later,48
97,administration,48
98,money,48
99,case,48
100,feature_ngram_president_trump,47
101,use,46
102,place,46
103,reports,46
104,mr,46
105,million,46
106,statement,46
107,press,46
108,night,46
109,actually,46
110,look,46
111,let,46
112,hiv,46
113,minutes,45
114,sex,44
115,called,44
116,evidence,44
117,murder,44
118,today,44
119,week,42
120,post,42
121,russian,42
122,saying,42
123,little,42
124,face,42
125,city,42
126,government,42
127,trying,42
128,feature_ngram_white_house,41
129,_president,41
130,school,40
131,election,40
132,clear,40
133,york,40
134,long,40
135,body,40
136,came,40
137,black,40
138,sure,40
139,information,40
140,free,40
141,war,40
142,wheeler,40
143,_according,39
144,30,39
145,justice,38
146,rights,38
147,court,38
148,set,38
149,national,38
150,went,38
151,find,38
152,seen,38
153,dead,38
154,real,38
155,released,38
156,taking,38
157,ryan,38
158,best,38
159,great,38
160,number,38
161,human,38
162,given,38
163,help,38
164,party,38
165,mean,38
166,abortion,38
167,authorities,38
168,space,38
169,hard,36
170,nation,36
171,presidential,36
172,2016,36
173,added,36
174,recently,36
175,high,36
176,control,36
177,support,36
178,car,36
179,executive,36
180,making,36
181,burks,36
182,seth,36
183,members,34
184,reason,34
185,plan,34
186,interview,34
187,reported,34
188,criminal,34
189,muslim,34
190,door,34
191,ban,34
192,past,34
193,dnc,34
194,rest,34
195,_obama,34
196,15,34
197,mother,34
198,passed,34
199,november,34
200,dollar,34
201,feature_ngram_obama_,33
202,department,32
203,laws,32
204,change,32
205,supporters,32
206,constitution,32
207,power,32
208,turned,32
209,able,32
210,known,32
211,health,32
212,point,32
213,better,32
214,campaign,32
215,feature_ngram_time_,32
216,comes,32
217,start,32
218,started,32
219,fake,32
220,_know,32
221,live,32
222,matter,32
223,_asked,32
224,wasserman,32
225,schultz,32
226,getting,32
227,ordered,32
228,taken,32
229,john,32
