,0,1
0,trump,724
1,said,411
2,clinton,355
3,new,213
4,president,195
5,donald,175
6,people,168
7,campaign,149
8,obama,146
9,debate,145
10,state,139
11,hillary,113
12,like,109
13,presidential,107
14,republican,103
15,york,101
16,year,99
17,states,96
18,country,93
19,american,93
20,time,91
21,story,90
22,re,86
23,north,86
24,police,82
25,years,81
26,know,81
27,says,81
28,bill,80
29,black,80
30,voters,80
31,going,79
32,million,78
33,political,73
34,think,73
35,told,71
36,law,71
37,house,70
38,america,70
39,man,69
40,vote,69
41,white,68
42,justice,68
43,candidate,67
44,democrats,67
45,americans,66
46,monday,66
47,korea,66
48,government,65
49,war,65
