,0,1
0,feature_ngram_,15015
1,trump,1448
2,said,822
3,clinton,710
4,new,426
5,president,390
6,donald,350
7,people,336
8,campaign,298
9,obama,292
10,debate,290
11,state,279
12,_trump,259
13,re,258
14,feature_ngram_n,228
15,hillary,226
16,like,218
17,year,216
18,presidential,214
19,republican,206
20,feature_ngram_trump_,204
21,york,202
22,states,192
23,country,187
24,american,186
25,time,182
26,story,180
27,north,172
28,feature_ngram_said_,169
29,police,164
30,years,162
31,know,162
32,says,162
33,bill,160
34,black,160
35,voters,160
36,going,158
37,million,156
38,feature_ngram_donald_trump,156
39,political,146
40,think,146
41,told,142
42,law,142
43,house,140
44,america,140
45,vote,139
46,man,138
47,_said,137
48,white,136
49,justice,136
50,candidate,134
51,democrats,134
52,americans,132
53,monday,132
54,korea,132
55,government,130
56,war,130
57,south,128
58,ve,125
59,right,124
60,policy,124
61,_clinton,124
62,according,122
63,co,121
64,2016,120
65,way,120
66,senate,120
67,buchanan,120
68,news,118
69,united,118
70,feature_ngram_u,118
71,voting,118
72,scott,118
73,day,117
74,city,116
75,election,116
76,nominee,116
77,world,116
78,percent,114
79,continued,112
80,ll,111
81,family,110
82,democratic,110
83,early,110
84,long,110
85,virginia,108
86,public,106
87,want,104
88,_n,102
89,september,102
90,feature_ngram_new_york,101
91,carolina,98
92,republicans,96
93,john,94
94,asked,94
95,support,92
96,night,92
97,called,90
98,great,90
99,cnn,90
100,tuesday,88
101,later,88
102,foreign,88
103,com,87
104,feature_ngram_clinton_,87
105,local,86
106,party,86
107,including,86
108,history,86
109,court,86
110,http,86
111,000,84
112,twitter,84
113,candidates,84
114,feature_ngram_hillary_clinton,82
115,week,82
116,washington,82
117,african,82
118,charlotte,82
119,old,80
120,stop,80
121,work,80
122,money,78
123,home,78
124,fact,76
125,took,76
126,help,76
127,secretary,76
128,earlier,76
129,taxes,76
130,need,74
131,saying,74
132,federal,74
133,bush,74
134,person,73
135,_new,72
136,gop,72
137,kallstadt,72
138,west,71
139,good,70
140,things,70
141,days,70
142,far,70
143,oct,70
144,speech,70
145,went,70
146,officers,70
147,nuclear,70
148,video,68
149,race,68
150,politics,68
151,politi,67
152,11,67
153,end,66
154,media,66
155,university,66
156,believe,66
157,statement,66
158,office,66
159,saudi,66
160,cruz,65
161,decision,64
162,better,64
163,confederate,64
164,national,64
165,general,64
166,group,64
167,interview,64
168,times,64
169,leader,64
170,kind,64
171,question,64
172,young,62
173,came,62
174,look,62
175,matter,62
176,military,62
177,meeting,62
178,stage,62
179,terrorism,62
180,conference,62
181,lot,62
182,20,61
183,bad,60
184,read,60
185,tried,60
186,away,60
187,thing,60
188,_according,60
189,nation,60
190,shot,60
191,funding,60
192,wednesday,60
193,come,60
194,_donald,60
195,attacks,60
196,authors,60
197,feature_ngram_president_,58
198,members,58
199,women,58
200,community,58
201,wanted,58
202,debates,58
203,sept,58
204,officials,58
205,worst,58
206,feature_ngram_country_,57
207,mr,56
208,county,56
209,case,56
210,added,56
211,bit,56
212,coal,56
213,syrian,56
214,abc,56
215,point,55
216,lost,54
217,life,54
218,known,54
219,sen,54
220,deal,54
221,economy,54
222,flint,54
223,congressional,54
224,feature_ngram_state_,53
225,business,52
226,congress,52
227,department,52
228,town,52
229,win,52
230,issue,52
231,gun,52
232,barack,52
233,violence,52
234,seen,52
235,recent,52
236,friedrich,52
237,mcconnell,52
238,feature_ngram_year_,51
239,use,50
240,feature_ngram_2016_,50
241,civil,50
242,started,50
243,watch,50
244,pay,50
245,making,50
246,running,50
247,weeks,50
248,bring,50
249,problem,50
250,gave,50
251,feature_ngram_debate_,50
252,real,50
253,enforcement,50
254,shooting,50
255,_know,49
256,23,49
257,_think,49
258,12,48
259,start,48
260,order,48
261,run,48
262,set,48
263,talk,48
264,racism,48
265,issues,48
266,wife,48
267,wall,48
268,left,48
269,florida,48
270,keith,48
271,tax,48
272,international,48
273,drugs,48
274,schumer,48
275,_2016,47
276,feature_ngram_continued_,47
277,feature_ngram_united_states,47
278,talking,46
279,soon,46
280,hold,46
281,thursday,46
282,face,46
283,room,46
284,leaders,46
285,rally,46
286,change,46
287,lives,46
288,important,46
289,big,46
290,makes,46
291,security,46
292,got,46
293,official,46
294,frisk,46
295,feel,46
296,texas,46
297,image,46
298,paying,46
299,feature_ngram_people_,45
300,share,44
301,millions,44
302,morning,44
303,death,44
304,found,44
305,governor,44
306,instead,44
307,suggested,44
308,_president,44
309,ly,44
310,message,44
311,spending,44
312,months,44
313,supporters,44
314,friday,44
315,audience,44
316,trying,44
317,service,44
318,rights,44
319,allow,44
320,anti,44
321,racist,44
322,saudis,44
323,_story,43
324,_obama,43
325,march,42
326,short,42
327,photo,42
328,press,42
329,monuments,42
330,economic,42
331,poll,42
332,looking,42
333,votes,42
334,middle,42
335,wrote,42
336,past,42
337,head,42
338,likely,42
339,sunday,42
340,getting,42
341,senator,42
342,chief,42
343,getty,42
344,senior,42
345,10,42
346,company,42
347,event,42
348,administration,42
349,feature_ngram_http,42
350,record,42
351,king,42
352,aid,42
353,judge,41
354,especially,40
355,met,40
356,act,40
357,held,40
358,_including,40
359,care,40
360,member,40
361,born,40
362,little,40
363,center,40
364,majority,40
365,job,40
366,given,40
367,foundation,40
368,different,40
369,comments,40
370,ryan,40
371,spent,40
372,jersey,40
373,attack,40
374,kerry,40
375,cuban,40
376,absentee,40
377,wendel,40
378,second,39
379,feature_ngram_story_continued,39
380,feature_ngram_york_,39
381,feature_ngram_campaign_,39
382,crisis,38
383,high,38
384,problems,38
